sample	file	group	subject
Id2_1	Sample_imb_soshnikova_2015_06_2_Id2_1.readcounts.tsv	Id2	1
Id2_2	Sample_imb_soshnikova_2015_06_6_Id2_2.readcounts.tsv	Id2	2
EpCAM_2	Sample_imb_soshnikova_2015_06_5_EpCAM_2.readcounts.tsv	EpCAM	2
EpCAM_3	Sample_imb_soshnikova_2015_06_9_EpCAM_3.readcounts.tsv	EpCAM	3
Lgr5_2	Sample_imb_soshnikova_2015_06_7_Lgr5_2.readcounts.tsv	Lgr5	2
Lgr5_3	Sample_imb_soshnikova_2015_06_11_Lgr5_3.readcounts.tsv	Lgr5	3
Id2Lgr5_2	Sample_imb_soshnikova_2015_06_8_Id2Lgr5_2.readcounts.tsv	Id2Lgr5	2
Id2Lgr5_3	Sample_imb_soshnikova_2015_06_12_Id2Lgr5_3.readcounts.tsv	Id2Lgr5	3
